task,contrast,pool,variant,top_k,n_heads_long,n_heads_single,head_jaccard,n_shared_heads,ambient_dim,n_examples_long,n_examples_single,eff_rank_long,eff_rank_single,stable_rank_long,stable_rank_single,rank_a,rank_b,rank_joint,rank_sharing,grassmann_overlap,energy_b_in_a,energy_a_in_b,mean_principal_angle_deg,n_angles_cos_gt_0.9,n_angles_cos_gt_0.99,null_uniform_grassmann_overlap_mean,null_uniform_grassmann_overlap_std,null_uniform_grassmann_overlap_z,null_uniform_grassmann_overlap_pct,null_uniform_rank_sharing_mean,null_uniform_rank_sharing_std,null_uniform_rank_sharing_z,null_uniform_rank_sharing_pct,null_uniform_energy_b_in_a_mean,null_uniform_energy_b_in_a_std,null_uniform_energy_b_in_a_z,null_uniform_energy_b_in_a_pct,null_layer_matched_grassmann_overlap_mean,null_layer_matched_grassmann_overlap_std,null_layer_matched_grassmann_overlap_z,null_layer_matched_grassmann_overlap_pct,null_layer_matched_rank_sharing_mean,null_layer_matched_rank_sharing_std,null_layer_matched_rank_sharing_z,null_layer_matched_rank_sharing_pct,null_layer_matched_energy_b_in_a_mean,null_layer_matched_energy_b_in_a_std,null_layer_matched_energy_b_in_a_z,null_layer_matched_energy_b_in_a_pct
female-long|female-single,diff,last,disjoint,0.05,68,68,0.08108108108108109,12,5120,100,100,2592.507080078125,2585.189208984375,66.43397521972656,50.866416931152344,2540,2520,3526,0.6087301587301587,0.5363747477531433,0.584953784942627,0.5811874866485596,42.371620178222656,825,252,0.5577283680438996,0.012243502924001462,-1.7440776894736436,0.05,0.6285652785933786,0.012179625446216293,-1.6285492481529393,0.05,0.5855931013822555,0.012081693758185252,-0.052916126863042263,0.6,0.5531364381313324,0.010639838757735904,-1.5753707137715947,0.0,0.6259457301341473,0.010771359774926072,-1.598272805264906,0.0,0.6128877878189087,0.011984616504637557,-2.330821588281316,0.0
female-long|female-single,diff,last,all,0.07,112,112,0.09803921568627451,20,5120,100,100,3157.512939453125,3125.52197265625,82.95997619628906,66.06592559814453,3321,3273,4019,0.7867399938893981,0.6958476901054382,0.7580839991569519,0.7549570202827454,27.169538497924805,1801,1474,0.7045464187860488,0.01015315363606447,-0.8567514087162363,0.25,0.793721811894448,0.009214166619712985,-0.7577264763275371,0.25,0.7327813595533371,0.011209205802298365,2.2573088629014793,1.0,0.6845984578132629,0.005588624138491758,2.0128804538304927,0.95,0.7762851143002802,0.005204606332527815,2.0087743281901647,0.95,0.7437502771615982,0.008588732714907168,1.6688983661670023,0.95
female-long|female-single,diff,last,disjoint,0.07,92,92,0.09803921568627451,20,5120,100,100,2973.4453125,2907.88037109375,82.30970001220703,59.29214096069336,3051,2963,3885,0.71852851839352,0.6295764446258545,0.674916684627533,0.6627689599990845,33.286136627197266,1349,894,0.6469020158052444,0.011867898539322099,-1.4598684949980687,0.1,0.733531857533487,0.011469294253728366,-1.3081309806913182,0.1,0.6748271316289902,0.013348323372180703,0.006708932353959825,0.5,0.6343368560075759,0.008441072143700063,-0.5639581442594769,0.2,0.7231780557543143,0.007998790376228573,-0.5812800613717877,0.2,0.6922520428895951,0.009316762067522358,-1.8606634082126103,0.05
female-long|female-single,diff,last,all,0.09,144,144,0.125,32,5120,100,100,3412.0966796875,3337.390869140625,93.0614013671875,71.9515380859375,3684,3582,4227,0.8484087102177554,0.757356584072113,0.8116673827171326,0.8005003333091736,21.205076217651367,2277,2146,0.7651050806045532,0.005751110892932577,-1.347304316799405,0.05,0.8519281635702068,0.004865154344944792,-0.7234001437402177,0.3,0.7956888437271118,0.005124539155241046,3.118044082789174,1.0,0.7465371638536453,0.006454165993964712,1.6763467547294177,0.95,0.8375481014379451,0.005901301680396931,1.8403751185755037,0.95,0.7964616328477859,0.006579937609100322,2.310926147432837,1.0
female-long|female-single,diff,last,disjoint,0.09,112,112,0.125,32,5120,100,100,3200.767822265625,3083.73388671875,92.33595275878906,63.798828125,3374,3218,4083,0.7796768178993163,0.6852626800537109,0.726167619228363,0.7021539807319641,27.72610855102539,1710,1472,0.7045464187860488,0.01015315363606447,-1.8992856233201454,0.0,0.793721811894448,0.009214166619712985,-1.524282615541545,0.05,0.7327813595533371,0.011209205802298365,-0.5900275578505288,0.25,0.6815917283296585,0.006581546554541301,0.5577643026044435,0.65,0.7735137023722501,0.005795947538549734,1.0633490876296483,0.85,0.7325946182012558,0.0065182581656184685,-0.9859994510179045,0.15
female-long|female-single,diff,last,all,0.1,160,160,0.1387900355871886,39,5120,100,100,3524.220947265625,3448.562744140625,99.54401397705078,70.4240951538086,3832,3731,4313,0.8710801393728222,0.7829023599624634,0.8352053761482239,0.8244449496269226,18.80282974243164,2513,2443,0.7869276195764542,0.005876086425168078,-0.6850238956238069,0.15,0.8710179310843964,0.00561162245004551,0.011085615431120513,0.6,0.8148857146501541,0.007705888467707485,2.6369005447226352,1.0,0.7692007780075073,0.005821880549021766,2.3534632563456346,1.0,0.8583113380017713,0.005348368972941394,2.3874196854501273,1.0,0.8210833907127381,0.005055405505080783,2.793442666724349,1.0
female-long|female-single,diff,last,disjoint,0.1,121,121,0.1387900355871886,39,5120,100,100,3295.993408203125,3188.94921875,100.63856506347656,65.35262298583984,3504,3359,4170,0.8017267043763024,0.7085887789726257,0.747937798500061,0.7272622585296631,25.43158531188965,1902,1743,0.7226123183965683,0.008292886168946082,-1.6910324268595056,0.0,0.8120923712934267,0.008069712213635926,-1.2845150660526292,0.05,0.7524965524673461,0.009436638883406852,-0.48309085720140355,0.45,0.7091391652822494,0.008017468288834331,-0.0686483924595223,0.4,0.8011404459063686,0.008228904355288226,0.07124380654116151,0.6,0.7588227927684784,0.0075419793861816325,-1.443254311774015,0.15
female-long|female-single,diff,last,all,0.5,800,800,0.34115674769488685,407,5120,100,100,4505.84521484375,4474.6533203125,91.40180969238281,93.76302337646484,4806,4792,4880,0.9845575959933222,0.9450486898422241,0.9617745876312256,0.9600789546966553,4.5207719802856445,4478,4478,0.9436764925718307,0.000630614636578609,2.175968001374391,0.95,0.9841116277743017,0.0006008725620166057,0.7422010043589026,0.85,0.9608450710773468,0.0006771190026574014,1.372752131059365,0.9,0.9446734249591827,0.00048200609918150306,0.7785479969623688,0.8,0.9843933366472157,0.0004552483088737794,0.36081264423096016,0.75,0.9610284745693207,0.0003834165174940589,1.945959623182963,1.0
female-long|female-single,diff,last,disjoint,0.5,393,393,0.34115674769488685,407,5120,100,100,4177.623046875,4153.8818359375,77.58831024169922,81.63327026367188,4576,4563,4780,0.9552925706771861,0.8981732726097107,0.9147754907608032,0.9132069945335388,8.376338005065918,4019,4019,0.9057864099740982,0.0022178315114327754,-3.4326941993304225,0.0,0.9623861795636925,0.002218557730639676,-3.1973965737015804,0.0,0.9275292932987214,0.0019525718474201236,-6.531796796501682,0.0,0.9022640824317932,0.0018605452636207289,-2.1987155604704767,0.05,0.9594355306416802,0.0017171934728236846,-2.41263435370598,0.0,0.9225825756788254,0.001801227742061059,-4.334313055321313,0.0
female-long|female-single,diff,last,all,1.0,1600,1600,1.0,1600,5120,100,100,4688.53369140625,4667.908203125,84.7301254272461,83.68135070800781,4895,4886,4929,0.9930413426115432,0.9641277194023132,0.976866602897644,0.9757921695709229,2.982213258743286,4661,4661,0.9641274899244309,4.053092777847931e-07,0.5661796927453884,0.45,0.9930413426115434,2.278129578503827e-16,-0.9746794344808966,0.0,0.976866340637207,2.8249808551862264e-07,0.9283618207622673,0.65,0.9641276329755784,3.816436971630704e-07,0.22645922236462007,0.25,0.9930413426115434,2.278129578503827e-16,-0.9746794344808966,0.0,0.9768664598464966,2.717013996041705e-07,0.5265013271611656,0.4
