layer,privilege,induction
0,-0.014579769223928452,-0.023621119558811188
1,0.1635759025812149,0.061265457421541214
2,0.13008829951286316,-0.1177503913640976
3,0.14609746634960175,0.01289444975554943
4,0.006323907524347305,-0.040480196475982666
5,0.246010422706604,0.026638038456439972
6,0.03797716647386551,-0.1233622133731842
7,-0.011075176298618317,-0.13801738619804382
8,0.3656793236732483,-0.04669189453125
9,0.018548935651779175,0.03742516040802002
10,0.2801339030265808,-0.10553758591413498
11,0.18313653767108917,-0.1705545037984848
12,-0.6705394983291626,-0.20431600511074066
13,-0.054919421672821045,0.04234360158443451
14,0.3492056429386139,-0.18080557882785797
15,0.963947594165802,-0.34210705757141113
16,1.3265632390975952,-0.37087342143058777
17,1.219550371170044,-0.009956777095794678
18,0.04595524072647095,-0.08413100242614746
19,0.6511560678482056,-0.6656411290168762
20,0.18094968795776367,-0.07171792536973953
21,1.5403380393981934,-2.16304087638855
22,-0.10188844799995422,0.041452087461948395
23,1.1228774785995483,-1.9009454250335693
