layer,privilege,position
0,0.31417885422706604,0.12108749151229858
1,0.31627774238586426,0.12921226024627686
2,0.33813947439193726,0.13190309703350067
3,0.2353309690952301,0.11045552790164948
4,0.24901452660560608,0.19195760786533356
5,0.3139319121837616,0.1748933494091034
6,0.46147966384887695,0.20465561747550964
7,0.684865415096283,0.4971367120742798
8,0.547679603099823,0.4245121479034424
9,0.7966853976249695,0.49734923243522644
10,0.5035472512245178,0.4311152696609497
11,1.1960058212280273,1.0134718418121338
12,2.183746814727783,0.9242944717407227
13,2.6631951332092285,1.1674994230270386
14,1.5551979541778564,0.9924889802932739
15,2.064237117767334,1.7883491516113281
16,2.7304189205169678,1.4550305604934692
17,2.980685234069824,2.9984681606292725
18,1.3344663381576538,0.9556698799133301
19,1.9304840564727783,1.0002413988113403
20,0.9743145704269409,0.921947717666626
21,1.2542755603790283,0.688352644443512
22,0.27257877588272095,0.3259407579898834
23,1.6764461994171143,1.4014208316802979
