task,contrast,pool,variant,top_k,n_heads_long,n_heads_single,head_jaccard,n_shared_heads,ambient_dim,n_examples_long,n_examples_single,eff_rank_long,eff_rank_single,stable_rank_long,stable_rank_single,rank_a,rank_b,rank_joint,rank_sharing,grassmann_overlap,energy_b_in_a,energy_a_in_b,mean_principal_angle_deg,n_angles_cos_gt_0.9,n_angles_cos_gt_0.99,null_uniform_grassmann_overlap_mean,null_uniform_grassmann_overlap_std,null_uniform_grassmann_overlap_z,null_uniform_grassmann_overlap_pct,null_uniform_rank_sharing_mean,null_uniform_rank_sharing_std,null_uniform_rank_sharing_z,null_uniform_rank_sharing_pct,null_uniform_energy_b_in_a_mean,null_uniform_energy_b_in_a_std,null_uniform_energy_b_in_a_z,null_uniform_energy_b_in_a_pct,null_layer_matched_grassmann_overlap_mean,null_layer_matched_grassmann_overlap_std,null_layer_matched_grassmann_overlap_z,null_layer_matched_grassmann_overlap_pct,null_layer_matched_rank_sharing_mean,null_layer_matched_rank_sharing_std,null_layer_matched_rank_sharing_z,null_layer_matched_rank_sharing_pct,null_layer_matched_energy_b_in_a_mean,null_layer_matched_energy_b_in_a_std,null_layer_matched_energy_b_in_a_z,null_layer_matched_energy_b_in_a_pct
female-long|female-single,diff,mean,all,0.005,8,8,0.0,0,5120,16,16,67.15103912353516,38.922054290771484,9.820014953613281,8.3316650390625,64,37,98,0.08108108108108109,0.02720477804541588,0.0342402420938015,0.023632552474737167,81.62384033203125,0,0,0.0163990119099617,0.010281549499928147,1.0509861510203005,0.92,0.05012097385398607,0.027177351595083627,1.139187794615561,0.9,0.020768012404441833,0.01700656427910683,0.7921782123806618,0.86,0.027041990160942077,0.01301577522268367,0.012506968020629065,0.68,0.05182075627888918,0.021881230219948974,1.3372339904140975,0.88,0.03665241293609142,0.023414966672262644,-0.10301833336142988,0.64
female-long|female-single,diff,mean,all,0.01,16,16,0.0,0,5120,16,16,126.54212951660156,75.02149963378906,15.60696029663086,16.282962799072266,118,70,183,0.07142857142857142,0.04118969291448593,0.049596793949604034,0.03510664775967598,79.51990509033203,0,0,0.027161791138350964,0.0041369825480851285,3.390853505685688,0.98,0.0480840690580542,0.013908105178702527,1.6784818687066478,0.96,0.0315596017241478,0.007062569428314825,2.5539136157929465,0.98,0.05366859249770641,0.01579655021864099,-0.7899762549733511,0.22,0.060144422432784034,0.014087974812439213,0.8009773687147611,0.74,0.0720421040058136,0.024664355563403205,-0.9100302660862444,0.16
female-long|female-single,diff,mean,all,0.015,24,24,0.0,0,5120,16,16,178.12338256835938,111.70924377441406,14.83899974822998,18.95273208618164,165,105,262,0.0761904761904762,0.0568520613014698,0.06982171535491943,0.0603313185274601,77.71549224853516,0,0,0.04043820422142744,0.007404710580734026,2.216677735217474,0.98,0.05166287544654769,0.010751540715613841,2.2813103156748955,0.98,0.050758718699216845,0.014254743305101297,1.3373090098985212,0.9,0.06821401357650757,0.011222284555610008,-1.0124455692364294,0.06,0.06629741894636922,0.010107368010504115,0.9787965802596273,0.82,0.09491711258888244,0.021824427626363226,-1.1498765357607157,0.08
female-long|female-single,diff,mean,all,0.02,32,32,0.06666666666666667,4,5120,16,16,239.55091857910156,151.96383666992188,16.576396942138672,21.624385833740234,223,143,353,0.09090909090909091,0.09695733338594437,0.1154930368065834,0.10272122919559479,74.20893859863281,0,0,0.05289558306336403,0.007000753226830856,6.293858517067952,1.0,0.05981890353569126,0.010694943053891487,2.906998870095629,0.98,0.06445261925458907,0.013798510918523195,3.6989801184617246,1.0,0.08463573589920997,0.009859431234475052,1.2497270069342326,0.88,0.07543750935095618,0.008585085648257515,1.8021464423333906,0.94,0.11496960535645485,0.01858628864681989,0.028162236155635588,0.58
female-long|female-single,diff,mean,disjoint,0.02,28,28,0.06666666666666667,4,5120,16,16,208.78993225097656,130.58172607421875,17.65571403503418,19.09886360168457,195,122,307,0.08196721311475409,0.06412521749734879,0.08028989285230637,0.06198222190141678,76.95097351074219,0,0,0.04859566003084183,0.006792607903577407,2.2862437648326694,0.96,0.058339647949490654,0.009696021863164504,2.436830846578978,0.98,0.06033138990402222,0.012789519289066607,1.5605358182106266,0.92,0.07428566724061966,0.01082564332645655,-0.9385538980801241,0.22,0.06882563116117772,0.011081830301027407,1.1858674602116945,0.84,0.09778669714927674,0.0168425608475956,-1.038844654046072,0.2
female-long|female-single,diff,mean,all,0.025,40,40,0.05263157894736842,4,5120,16,16,290.49420166015625,190.4249267578125,18.175642013549805,26.955196380615234,269,177,428,0.1016949152542373,0.10277561843395233,0.12134440988302231,0.10723605006933212,73.51204681396484,0,0,0.06768878124654293,0.009766972784254518,3.592396330209235,1.0,0.06800454337526954,0.010861815327554956,3.101725711861427,0.98,0.08542218826711177,0.018141018755789506,1.980165618011191,0.92,0.09962442949414253,0.008560576417032343,0.3681047614434131,0.66,0.08447397282493065,0.009345225628358992,1.8427529857650555,0.94,0.13519578978419303,0.01652648166797104,-0.8381324095143148,0.26
female-long|female-single,diff,mean,disjoint,0.025,36,36,0.05263157894736842,4,5120,16,16,260.0630187988281,169.1304168701172,19.62949562072754,24.486879348754883,240,156,383,0.08333333333333333,0.07467497885227203,0.09126151353120804,0.07204373180866241,75.80586242675781,0,0,0.06103758797049522,0.007995179106491772,1.7057017360253737,0.92,0.06389525166422241,0.008913022883415434,2.1808629825555124,0.96,0.07478040300309657,0.012592595453221776,1.3087937740344724,0.88,0.08925783947110176,0.007877650269021331,-1.8511688283721446,0.0,0.07961183380527082,0.007615291106647589,0.4886877567705742,0.7,0.11908081367611885,0.016730371209364645,-1.6628023249920036,0.04
female-long|female-single,diff,mean,all,0.03,48,48,0.054945054945054944,5,5120,16,16,339.52545166015625,226.41357421875,20.927417755126953,27.39002227783203,310,211,498,0.10900473933649289,0.11410140246152878,0.14738346636295319,0.11775800585746765,72.48477172851562,0,0,0.07799314692616463,0.007936500607516224,4.54964439883845,1.0,0.07620934206455572,0.007705151586774758,4.256294883053009,1.0,0.09602671429514885,0.014656057928425751,3.504131350913725,1.0,0.1158181793987751,0.009778271544375735,-0.17557059337688172,0.4,0.09714726104650458,0.007599484770668902,1.5603002897977554,0.92,0.15470919370651245,0.01726764890941486,-0.4242457894522661,0.32
female-long|female-single,diff,mean,disjoint,0.03,43,43,0.054945054945054944,5,5120,16,16,301.6239013671875,200.91236877441406,22.1377010345459,26.732667922973633,275,186,444,0.0913978494623656,0.08329813182353973,0.11075971275568008,0.08151520043611526,74.94032287597656,0,0,0.06894776746630668,0.006046779837836877,2.373224218854085,0.98,0.07078771844310902,0.010174655746866303,2.025634235890909,0.96,0.0836992086470127,0.011915810984088773,2.2709746021316866,1.0,0.1023580352962017,0.008705029531104044,-2.189527721251123,0.02,0.08879149451707603,0.007853293350780414,0.33188050272317354,0.6,0.13758641853928566,0.015921477901874995,-1.6849381664780205,0.04
female-long|female-single,diff,mean,all,0.05,80,80,0.08108108108108109,12,5120,16,16,546.14794921875,386.9800109863281,28.596845626831055,35.041412353515625,491,364,805,0.13736263736263737,0.1597052812576294,0.2131427824497223,0.17697405815124512,68.78496551513672,3,0,0.12223971754312515,0.006403879246146351,5.850448185301091,1.0,0.10998872679208356,0.008248514785999955,3.3186472087090184,1.0,0.1483810053765774,0.010977725795132648,5.899380097639099,1.0,0.16341816306114196,0.006791209053113142,-0.5467188205332231,0.3,0.13536008148898182,0.006335641285353109,0.3160778496543218,0.6,0.21433601200580596,0.011666355015263889,-0.10227955128422592,0.48
