layer,privilege,position
0,0.3182998299598694,0.10562509298324585
1,0.5622585415840149,0.11071143299341202
2,0.5504258871078491,0.12146780639886856
3,0.5152007341384888,0.11817207932472229
4,0.7568507194519043,0.1430213302373886
5,0.8138436675071716,0.2152753323316574
6,0.9540384411811829,0.2787543535232544
7,1.9947494268417358,0.3108888268470764
8,1.8918933868408203,0.29200753569602966
9,2.4646530151367188,0.45068246126174927
10,2.280907392501831,0.42416101694107056
11,2.188107490539551,0.4969705045223236
12,4.6271562576293945,0.4877101182937622
13,4.150190353393555,0.7932161688804626
14,3.3667140007019043,0.8295810222625732
15,4.466220378875732,1.044571876525879
16,4.7250566482543945,1.372953176498413
17,6.788410186767578,2.6192848682403564
18,6.210567474365234,1.191706657409668
19,5.817140579223633,1.1714484691619873
20,5.958491802215576,1.1596033573150635
21,5.1821818351745605,1.4286590814590454
22,1.3046990633010864,0.7272169589996338
23,8.070719718933105,2.165070056915283
