DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-85.5,-98.5,13.0,-121.0,-113.5,-7.5
-91.5,-112.5,21.0,-110.5,-134.0,23.5
-90.5,-102.5,12.0,-93.0,-114.0,21.0
-102.5,-114.5,12.0,-112.0,-123.0,11.0
-104.5,-106.0,1.5,-118.0,-120.5,2.5
-81.0,-100.0,19.0,-104.0,-116.5,12.5
-84.0,-95.0,11.0,-97.0,-107.0,10.0
-105.0,-109.5,4.5,-125.5,-114.0,-11.5
-100.0,-130.0,30.0,-116.5,-146.0,29.5
-124.0,-119.5,-4.5,-139.0,-135.0,-4.0
-84.5,-113.5,29.0,-95.5,-122.0,26.5
-85.0,-117.5,32.5,-87.0,-125.0,38.0
-103.5,-125.0,21.5,-112.0,-139.0,27.0
-97.0,-104.0,7.0,-116.0,-114.0,-2.0
-87.0,-93.5,6.5,-104.0,-110.5,6.5
-79.0,-84.5,5.5,-99.5,-99.5,0.0
-106.5,-110.0,3.5,-119.5,-120.0,0.5
-89.5,-91.5,2.0,-102.5,-101.0,-1.5
