d,u,diff
54.75,47.0,7.75
72.0,53.0,19
49.25,38.0,11.25
39.75,25.5,14.25
62.25,33.5,28.75
44.5,21.0,23.5
69.0,50.5,18.5
60.5,27.0,33.5
57.75,26.5,31.25
58.0,40.0,18
56.25,37.0,19.25
64.0,46.0,18
52.5,21.0,31.5
42.5,28.0,14.5
59.25,35.5,23.75
68.0,45.0,23
56.0,33.5,22.5
65.0,45.0,20
59.5,41.5,18
33.0,31.5,1.5
59.75,48.0,11.75
63.0,54.25,8.75
42.0,31.0,11
65.5,36.5,29
56.0,27.5,28.5
62.5,62.5,0
46.0,36.5,9.5
69.0,46.5,22.5
58.5,37.5,21
56.5,44.75,11.75
60.5,43.5,17
59.0,46.0,13
55.25,41.0,14.25
79.5,54.0,25.5
65.0,44.0,21
48.25,42.5,5.75
56.25,33.5,22.75
58.0,36.0,22
68.0,47.0,21
37.0,34.0,3
70.0,49.5,20.5
50.75,42.0,8.75
42.5,40.0,2.5
56.0,50.5,5.5
62.0,23.5,38.5
47.0,35.0,12
58.5,53.0,5.5
