d,u,diff
36.0,27.0,9
48.75,40.0,8.75
45.0,32.0,13
64.0,59.0,5
52.5,51.5,1
57.25,45.5,11.75
57.0,51.5,5.5
40.25,39.0,1.25
59.5,49.5,10
42.0,29.5,12.5
47.5,33.5,14
47.0,40.0,7
55.0,47.5,7.5
42.75,42.5,0.25
62.5,46.0,16.5
50.5,35.0,15.5
43.5,15.5,28
52.75,44.5,8.25
61.5,43.0,18.5
51.5,28.5,23
73.5,48.5,25
58.5,42.0,16.5
66.0,38.5,27.5
54.5,30.0,24.5
56.5,51.5,5
51.5,40.5,11
50.75,40.5,10.25
54.0,42.5,11.5
51.0,41.5,9.5
59.5,41.5,18
65.0,56.0,9
62.25,55.0,7.25
51.5,32.0,19.5
45.25,44.5,0.75
57.5,45.0,12.5
55.5,44.0,11.5
59.0,24.0,35
70.0,49.5,20.5
47.75,36.5,11.25
65.0,31.5,33.5
69.5,38.0,31.5
58.25,48.0,10.25
62.75,32.5,30.25
57.5,43.5,14
