layer,privilege,position
0,-0.042778875678777695,-0.04563695564866066
1,-0.02595675364136696,0.031712621450424194
2,-0.06027425080537796,0.026246728375554085
3,-0.06472460925579071,-0.029301583766937256
4,-0.023706059902906418,0.09023285657167435
5,-0.052594609558582306,0.05387386679649353
6,-0.0531652569770813,0.03745555877685547
7,-0.14209648966789246,0.15224657952785492
8,0.022195756435394287,0.09924224019050598
9,-0.03554154187440872,0.06860868632793427
10,-0.0349428616464138,0.10581947863101959
11,0.12524330615997314,0.15183867514133453
12,0.22037114202976227,-0.004216581583023071
13,0.7806693315505981,-0.08863325417041779
14,0.022881492972373962,0.30705970525741577
15,-0.07557304203510284,0.8061129450798035
16,0.0620841383934021,0.37214431166648865
17,0.6195680499076843,0.5782516598701477
18,0.3992214500904083,0.19952622056007385
19,0.3728315532207489,0.4094552993774414
20,0.08451573550701141,0.16499249637126923
21,0.23349788784980774,0.3610258996486664
22,-0.04861526936292648,-0.019209789112210274
23,0.19832295179367065,0.13938608765602112
