layer,privilege,position
0,-0.014579769223928452,-0.010849670507013798
1,0.1635759025812149,0.03145074099302292
2,0.13008829951286316,-0.005854606628417969
3,0.14609746634960175,-0.0093128252774477
4,0.006323907524347305,-0.07664261758327484
5,0.246010422706604,-0.06028610095381737
6,0.03797716647386551,-0.09346924722194672
7,-0.011075176298618317,-0.1390647292137146
8,0.3656793236732483,-0.045044414699077606
9,0.018548935651779175,-0.07786814123392105
10,0.2801339030265808,-0.026510577648878098
11,0.18313653767108917,0.0269479937851429
12,-0.6705394983291626,-0.009826898574829102
13,-0.054919421672821045,0.02863147109746933
14,0.3492056429386139,0.032258156687021255
15,0.963947594165802,-0.07535433769226074
16,1.3265632390975952,0.15315310657024384
17,1.219550371170044,0.20290926098823547
18,0.04595524072647095,-0.023350372910499573
19,0.6511560678482056,0.33098286390304565
20,0.18094968795776367,0.16016611456871033
21,1.5403380393981934,0.39125409722328186
22,-0.10188844799995422,0.036344096064567566
23,1.1228774785995483,0.29354941844940186
