model_id,method,ablation,task,eval_variant,steer_variant,rf_mode,steering_factor,topk,accuracy
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.05,0.2564102564102564
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.07,0.46153846153846156
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.09,0.7948717948717948
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.1,0.7948717948717948
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,1.0,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.01,0.02
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.03,0.1
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.05,0.06
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.07,0.14
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.09,0.1
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.1,0.38
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.5,0.08
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,1.0,0.02
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.01,0.02
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.03,0.08
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.05,0.04
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.07,0.58
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.09,0.3
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.1,0.88
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.5,0.06
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,1.0,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.01,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.03,0.06
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.05,0.04
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.07,0.44
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.09,0.02
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.1,0.26
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.5,0.06
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,1.0,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.01,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.03,0.02
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.05,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.07,0.12
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.09,0.02
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.1,0.52
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.5,0.02
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,1.0,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.01,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.03,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.05,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.07,0.08
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.09,0.08
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.1,0.38
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,0.5,0.6
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,4,1.0,0.98
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.01,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.03,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.05,0.04
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.07,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.09,0.02
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.1,0.02
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,0.5,0.98
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,2,1.0,0.8
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.01,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.03,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.05,0.02
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.07,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.09,0.02
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.1,0.0
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,0.5,0.38
OLMo-2-1124-13B-DPO,atp,steer,from_female-long_to_male-long,single,single,w_rf,1,1.0,0.22
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.01,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.03,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.05,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.07,0.37777777777777777
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.09,0.022222222222222223
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.1,0.9777777777777777
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.5,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,1.0,0.08888888888888889
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.01,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.03,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.05,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.07,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.09,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.1,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.5,0.9333333333333333
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,1.0,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.01,0.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.03,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.05,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.07,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.09,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.1,1.0
gemma-3-12b-it,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.5,0.6888888888888889
