model_id,task,method,ablation,eval_variant,steer_variant,rf_mode,topk,max_accuracy,best_steering_factor
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.03,0.22448979591836735,5.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.05,0.10204081632653061,2.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.07,1.0,2.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.09,0.8979591836734694,8.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.1,0.8163265306122449,2.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.5,0.10204081632653061,10.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,long,w_rf,1.0,0.30612244897959184,5.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.01,0.825,10.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.03,1.0,8.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.05,1.0,10.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.07,1.0,6.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.09,1.0,8.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.1,1.0,6.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.5,1.0,4.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,long,w_rf,1.0,1.0,2.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.01,1.0,10.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.03,0.9591836734693877,6.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.05,1.0,4.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.07,1.0,5.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.09,1.0,6.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.1,1.0,5.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.5,0.0,10.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,single,long,w_rf,1.0,0.0,10.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.01,0.04,8.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.03,0.1,10.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.05,1.0,10.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.07,1.0,8.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.09,1.0,6.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.1,1.0,8.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,single,long,w_rf,0.5,0.2,1.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,single,long,w_rf,1.0,0.18,1.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.01,0.06,10.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.03,0.32,10.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.05,0.5,8.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.07,0.38,10.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.09,0.36,5.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.1,0.36,5.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,single,comb,0.01,0.28,10.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,single,comb,0.03,0.58,6.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,single,comb,0.05,0.42,5.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,single,comb,0.07,0.32,5.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,single,comb,0.09,0.3,2.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,single,comb,0.1,0.46,2.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,single,comb,0.5,0.52,2.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,long,single,comb,1.0,0.76,1.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,single,comb,0.01,0.1,5.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,single,comb,0.03,0.52,8.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,single,comb,0.05,0.94,10.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,single,comb,0.07,0.92,10.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,single,comb,0.09,0.98,8.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,single,comb,0.1,0.98,6.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,single,comb,0.5,0.96,4.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,long,single,comb,1.0,0.82,10.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.01,0.4,8.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.03,0.64,8.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.05,0.78,10.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.07,0.8,6.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.09,0.74,4.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.1,0.8,4.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,0.5,0.0,10.0
Qwen1.5-32B-Chat,from_female-long_to_male-long,atp,steer,long,single,comb,1.0,0.0,10.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,single,comb,0.01,0.16,6.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,single,comb,0.03,0.32,10.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,single,comb,0.05,0.58,10.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,single,comb,0.07,0.64,8.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,single,comb,0.09,0.64,6.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,single,comb,0.1,0.64,6.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,single,comb,0.5,0.4,1.0
Falcon3-10B-Instruct,from_female-long_to_male-long,atp,steer,long,single,comb,1.0,0.14,1.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.01,0.12,6.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.03,0.46,10.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.05,0.76,10.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.07,0.26,4.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.09,0.38,6.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,long,long,comb,0.1,0.44,2.0
