model_id,method,ablation,task,steering_factor,topk,accuracy
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,10,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,10,0.5,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,10,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,8,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,8,0.03,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,8,0.05,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,8,0.07,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,8,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,8,0.1,0.06
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,8,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,8,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,6,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,6,0.03,0.94
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,6,0.05,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,6,0.07,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,6,0.09,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,6,0.1,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,6,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,6,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,5,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,5,0.03,0.08
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,5,0.05,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,5,0.07,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,5,0.09,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,5,0.1,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,5,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,5,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,4,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,4,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,4,0.05,0.58
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,4,0.07,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,4,0.09,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,4,0.1,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,4,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,4,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,2,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,2,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,2,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,2,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,2,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,2,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,2,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,2,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,1,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,1,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,1,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,1,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,1,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,1,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,1,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,1,1.0,0.0
