layer,privilege,position
0,0.052398696541786194,-0.045894555747509
1,0.027445543557405472,-0.009904835373163223
2,-0.03723698481917381,-0.03090854175388813
3,-0.017110630869865417,-0.06679105013608932
4,0.09601188451051712,0.013162776827812195
5,0.11982928216457367,0.024990735575556755
6,-0.0363619439303875,0.007050495594739914
7,-0.0737467110157013,0.14483633637428284
8,0.1185869351029396,0.06320589780807495
9,0.06409865617752075,0.01878833770751953
10,-0.043110910803079605,0.10389931499958038
11,0.26167118549346924,0.1702677607536316
12,0.2909858524799347,-0.0160655677318573
13,0.9339567422866821,-0.08111578226089478
14,-0.35748934745788574,0.33464938402175903
15,-0.13269388675689697,0.6803280115127563
16,0.030528202652931213,0.19577154517173767
17,0.47448912262916565,0.3734087347984314
18,0.47257161140441895,0.17559674382209778
19,0.4386569857597351,0.39926066994667053
20,0.0613340362906456,0.22502490878105164
21,0.11676623672246933,0.3125357925891876
22,-0.0005487566813826561,-0.0010990193113684654
23,0.2442505955696106,0.1238376796245575
