task,space,variant,top_k,n_heads_long,n_heads_single,head_jaccard,n_shared_heads,ambient_dim,cols_per_head,saturated,eff_rank_long,eff_rank_single,stable_rank_long,stable_rank_single,rank_a,rank_b,rank_joint,rank_sharing,grassmann_overlap,energy_b_in_a,energy_a_in_b,mean_principal_angle_deg,n_angles_cos_gt_0.9,n_angles_cos_gt_0.99,null_uniform_grassmann_overlap_mean,null_uniform_grassmann_overlap_std,null_uniform_grassmann_overlap_z,null_uniform_grassmann_overlap_pct,null_uniform_rank_sharing_mean,null_uniform_rank_sharing_std,null_uniform_rank_sharing_z,null_uniform_rank_sharing_pct,null_uniform_energy_b_in_a_mean,null_uniform_energy_b_in_a_std,null_uniform_energy_b_in_a_z,null_uniform_energy_b_in_a_pct,null_layer_matched_grassmann_overlap_mean,null_layer_matched_grassmann_overlap_std,null_layer_matched_grassmann_overlap_z,null_layer_matched_grassmann_overlap_pct,null_layer_matched_rank_sharing_mean,null_layer_matched_rank_sharing_std,null_layer_matched_rank_sharing_z,null_layer_matched_rank_sharing_pct,null_layer_matched_energy_b_in_a_mean,null_layer_matched_energy_b_in_a_std,null_layer_matched_energy_b_in_a_z,null_layer_matched_energy_b_in_a_pct
female,head,all,0.01,16,16,0.0,0,5120,128,False,1877.6014913081015,1892.2144815772401,270.5159369968874,233.49619136212772,1901,1910,3340,0.2477643345607575,0.41958142096868734,0.4518634311589545,0.4563903302815634,51.39883266058009,305,0,0.38867117149231734,0.012184115585014626,2.536930092356219,1.0,0.22886451732719162,0.02026003598730121,0.9328619774126805,0.8,0.3979654895995902,0.018445416255862785,2.92202359717597,1.0,0.44767541946289857,0.007665711489451276,-3.664891188883271,0.0,0.29512691507590116,0.017071844343206192,-2.774309533462434,0.0,0.49621479264383594,0.011672423146959737,-3.799670464862597,0.0
female,head,all,0.03,48,48,0.054945054945054944,5,5120,128,True,4154.9130735600875,4224.178514385718,271.00522146172943,189.9702072841544,4080,4134,4674,0.8676470588235294,0.8258827093970192,0.855951983815352,0.8707627189774046,14.667827213882841,3094,3094,0.826331517917151,0.0010377710007060193,-0.4324735609555514,0.4,0.8647266206725461,0.001213368276506051,2.4068852033884065,1.0,0.8421738432713759,0.0020823502048535098,6.616629859791212,1.0,0.822460230910228,0.0011939771535994252,2.8664522402909007,1.0,0.8651312257054057,0.0011463037835385025,2.1947350730690953,1.0,0.8683585679478967,0.007544236867417465,-1.6445114795012665,0.0
female,head,disjoint,0.03,43,43,0.054945054945054944,5,5120,128,True,4031.2972358259685,4101.046744466929,280.61594587355523,187.82242786420224,3911,3965,4657,0.8230631552032728,0.789197193003569,0.8103835831035849,0.8261456038581456,17.802322148950864,2756,2756,0.79309385676405,0.001944497201270821,-2.0039441342133424,0.0,0.8260818612689322,0.002121136653242168,-1.4231549207569218,0.0,0.8059504766039899,0.0030773179437697663,1.4405747409266467,1.0,0.79290400246668,0.005247140957222437,-0.7064436601438593,0.2,0.8278214049947344,0.0061623014273365735,-0.7721546645468531,0.2,0.8275875130609827,0.007858617000703984,-2.1891803552529123,0.0
female,head,all,0.05,80,80,0.08108108108108109,12,5120,128,True,4531.466837692455,4577.524545782063,231.36296662745292,248.4631231625298,4595,4629,4819,0.9586507072905331,0.9169334582169358,0.9388300661869937,0.9451326965552728,6.896487139510245,4104,4104,0.9210889535697904,0.0006862678600112878,-6.055209044448303,0.0,0.9570531366067699,0.0007935327266950869,2.0132385596959357,1.0,0.93036635893664,0.0026340594686280485,3.2131800178232317,1.0,0.9163061455446423,0.0017954772892132174,0.34938491066541705,0.6,0.958034522036441,0.0015256095351535927,0.4038944696488753,0.6,0.939608404509188,0.004056189130517371,-0.19188906067973177,0.8
female,head,disjoint,0.05,68,68,0.08108108108108109,12,5120,128,True,4463.490154482507,4513.774086597248,244.4773534336219,267.76458608145776,4494,4533,4813,0.9376947040498442,0.8952005992191278,0.9114472280129802,0.9196071198590491,8.662140076738897,3907,3907,0.90063798894779,0.0007159870283285379,-7.594257316861968,0.0,0.9391669203365062,0.0008778848643067584,-1.6770038378831276,0.0,0.9121135153314258,0.0012916448878964137,-0.5158440409505811,0.2,0.8937211707950651,0.002263470165067227,0.6536107464083754,0.8,0.9380106413646905,0.0022209104841855003,-0.14225576271351423,0.4,0.9223815267125766,0.0027652611330402353,-3.954164967984343,0.0
female,head,all,0.07,112,112,0.09803921568627451,20,5120,128,True,4689.130703031707,4716.180894751287,256.00820133911486,246.6381640984463,4764,4781,4881,0.979009235936188,0.9443463510847634,0.961300960313394,0.9642605024155451,4.622067418635514,4425,4425,0.9472125622883402,0.0006036799066902207,-4.747898964024282,0.0,0.9777410057614488,0.0005582648122366198,2.2717358266916285,1.0,0.9554429682225806,0.0019556724697287822,2.9953850562849067,1.0,0.9427559688584666,0.0016071632859311145,0.9895585845065044,0.8,0.9779468312782649,0.0013746893790708347,0.7728325206391471,0.8,0.9603252136019453,0.0011923557874657918,0.8183351996994568,0.8
female,head,disjoint,0.07,92,92,0.09803921568627451,20,5120,128,True,4630.281895372087,4663.51009164018,273.1554145802007,260.357650303244,4696,4719,4877,0.9663543441226575,0.9290158673084888,0.9425426104612653,0.9472047053604646,5.848948620147154,4295,4295,0.9340461679676453,0.0010698356827974858,-4.701937634013885,0.0,0.967479424144063,0.0008970335965467699,-1.2542228359523586,0.0,0.9425286747584549,0.0012170666470987825,0.011450238032243798,0.4,0.930803416844556,0.001728423865598056,-1.0342078535514063,0.2,0.9690018819222711,0.0011684838067679653,-2.2657890372795872,0.0,0.9476254873674443,0.0016955172304713513,-2.9978326464815708,0.0
female,head,all,0.09,144,144,0.125,32,5120,128,True,4773.060965370162,4794.477799535413,239.86029996480414,264.477167194744,4846,4852,4922,0.9855550969872059,0.9544923534232546,0.9698119019270989,0.971792377062633,3.756887404256998,4578,4578,0.9578193603156748,0.00045325155283192423,-7.340309970551823,0.0,0.9851198205725471,0.0003334362275567718,1.3054262815059001,1.0,0.9655961080316882,0.0005888607438648769,7.159237458658123,1.0,0.9574658101320213,0.001883463100761482,-1.578717792541055,0.2,0.9876731319710895,0.0014456342602588252,-1.4651250610956195,0.2,0.96874330984226,0.0016121535687290437,0.6628351700274605,0.8
female,head,disjoint,0.09,112,112,0.125,32,5120,128,True,4713.117380238114,4743.217055475316,252.58188179581745,288.2377841573316,4788,4801,4919,0.9753550543024228,0.9415068026391179,0.9529891743912545,0.9568631717666326,4.80599823382472,4469,4469,0.9472125622883402,0.0006036799066902207,-9.451630882507049,0.0,0.9777410057614488,0.0005582648122366198,-4.273870404740483,0.0,0.9554429682225806,0.0019556724697287822,-1.2547059230558908,0.2,0.9450775893394716,0.001699310863972029,-2.101314583493705,0.0,0.9797705091609643,0.0012180068420221007,-3.6251478285714245,0.0,0.9555486096684038,0.0013702465739879317,-1.867864752035384,0.0
female,head,all,0.1,160,160,0.1387900355871886,39,5120,128,True,4799.9164850149855,4821.413650339156,249.86350769570404,258.7869715666303,4867,4872,4929,0.9882884733922334,0.9590445967790359,0.9729847909906908,0.9748408608714902,3.3900880594442357,4619,4619,0.9619100745427055,0.0010401970613036111,-2.754745105776896,0.0,0.9878227623075064,0.000903658174548394,0.5153620006366545,0.6,0.9686590411766,0.0012273210530158135,3.5245462492975785,1.0,0.9618068826486027,0.0008882357970536395,-3.1098565028898824,0.0,0.9900726721743697,0.0006866027902400442,-2.598589471960256,0.0,0.9722580507492653,0.001085092147250731,0.6697497933855816,0.8
