layer,privilege,position
0,0.07016026973724365,-0.03716060519218445
1,0.01833570934832096,0.008427342399954796
2,0.014613652601838112,0.03637463599443436
3,-0.0876861959695816,-0.030083274468779564
4,0.03507709875702858,0.07313238084316254
5,-0.03750189021229744,0.03704291582107544
6,-0.06791424751281738,0.005128342658281326
7,-0.09780851006507874,0.15208256244659424
8,0.08207538723945618,0.09248881042003632
9,-0.08691267669200897,0.06072912737727165
10,-0.005550894886255264,0.13563086092472076
11,0.42158645391464233,0.1898004710674286
12,0.3993164896965027,0.02109251171350479
13,0.6211568117141724,-0.0001856088638305664
14,0.20097889006137848,0.47795361280441284
15,-0.26894044876098633,0.7599363923072815
16,0.5964511036872864,0.6749622225761414
17,0.8557062745094299,0.6715795397758484
18,-0.04439781606197357,0.3195904791355133
19,0.659891664981842,0.5650928020477295
20,0.1079062819480896,0.2764297127723694
21,0.6903754472732544,0.38777387142181396
22,-0.0542183592915535,-0.06961403787136078
23,0.3842877149581909,0.09836030006408691
